what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504110329383
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1504110329599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110332791
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110339098
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110341258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110343036
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504110348805
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110349190
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110350375
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504110350952
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110363077
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110658035
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504110663376
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110663596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110664431
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504110664961
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1504110667451
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1504110667523
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1504110667566
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110673275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110722028
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110724751
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110725597
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504110727594
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110727780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110728871
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504110729159
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110734601
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110851493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110865243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110946559
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110948283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110949095
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504110951564
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110951744
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110952796
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504110953081
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110956748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110964843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504110968533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504111000497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504111011522
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112381011
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112383921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112385471
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504112387884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112388519
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112389468
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504112389763
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112400118
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112405601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112407222
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112414966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112416774
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112417550
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1504112419404
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112419725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1504112420607
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1504112420942
